wordpress	latest	sha256:8801a1239d7ba9fb340a5fc5ba0bf7f8d3652adbd64893e3fba7992ba618108e
postgres	16	sha256:c1b3783309b6499c795eed7c20135a1a4d25cae1b575c3d52c6f536129a1b109
mariadb	11	sha256:2439dcd7d14010ecd1ff7a4e1c5abe8e208c34fe35290744deeeaac3569043c3
bkimminich/juice-shop	latest	sha256:73c53fbf442e8337b3ea3d98c7e8550308854701ebdfce4cc39768f36b75430e
vulnerables/web-dvwa	latest	sha256:dae203fe11646a86937bf04db0079adef295f426da68a92b40e3b181f337daa7
